High-1	High-2	Low-2	Low-3
Akt1s1	1154	1134	1354	1454
Pnkp	718	531	494	742
Ptov1	1955	1919	2476	3785
Med25	1940	1840	1851	3310
Fuz	452	419	459	528
Ap2a1	1394	955	1356	2663
Tsks	0	4	1	1
Cpt1c	246	149	64	169
6530437J22Rik	0	3	0	2
Prmt1	2060	2252	2004	2408
Gm15545	84	68	57	58
Bcl2l12	9	13	16	19
Irf3	666	326	354	523
Scaf1	642	462	672	935
Rras	255	242	188	157
Prr12	127	128	185	136
Prrg2	1044	1142	1098	1332
Nosip	681	476	601	884
Rcn3	81	60	8	0
Gm45669	0	0	0	0
Fcgrt	33	58	0	6
Gm45552	2	3	1	4
Rps11	4489	4209	3095	2994
Rpl13a	411	388	416	384
Gm45713	0	0	0	0
Flt3l	135	68	62	79
Aldh16a1	371	286	300	373
Pih1d1	535	557	440	534
Slc17a7	0	0	0	0
Gfy	0	0	0	0
Pth2	0	0	0	0
Ccdc155	2	3	16	0
Dkkl1	0	0	0	0
Tead2	4	7	0	4
Cd37	12	34	0	1
Slc6a16	0	0	0	0
Slc6a21	0	0	0	0
Trpm4	373	280	315	324
Hrc	0	0	2	0
Ppfia3	113	54	42	54
Mtag2	30	15	57	13
Lin7b	36	36	71	56
Gm45619	3	0	4	5
Snrnp70	1252	766	968	1131
Kcna7	0	7	0	15
Ntf5	0	0	0	0
Lhb	0	0	0	0
Ruvbl2	797	628	525	832
Gys1	267	345	281	377
Ftl1	72412	83812	52605	60285
Bax	2177	1910	1880	1792
Gm45808	0	0	1	0
Dhdh	102	36	153	94
Tulp2	0	3	0	4
Nucb1	5489	3856	4513	7194
Ppp1r15a	1227	876	804	929
Plekha4	78	85	196	204
Gm45564	0	0	0	0
Hsd17b14	0	0	0	0
0610005C13Rik	0	5	2	3
Bcat2	864	806	763	975
Gm31479	0	0	0	7
Fgf21	24	14	14	9
Fut1	196	165	64	107
Izumo1	3	0	0	1
Rasip1	55	37	37	28
Gm45437	0	0	0	0
A030001D20Rik	91	112	105	125
Mamstr	9	3	8	6
Fut2	0	0	0	0
Sec1	3	11	0	0
Ntn5	0	0	0	0
Car11	13	21	11	11
Dbp	312	446	868	992
Sphk2	796	767	1087	1510
Rpl18	3630	3639	3109	2821
Fam83e	15	16	10	12
Spaca4	7	3	7	8
Sult2b1	354	293	394	300
Gm31597	9	8	1	0
Lmtk3	15	7	10	8
Cyth2	1580	966	1426	1824
Kcnj14	0	0	0	1
Grwd1	527	302	274	405
Gm45441	0	4	3	0
Grin2d	30	13	17	27
Kdelr1	2104	2382	2470	2860
Syngr4	4	0	0	3
Tmem143	206	194	236	321
Emp3	33	184	6	17
Gm45442	0	3	0	3
Ccdc114	29	16	45	58
Abcc6	0	0	0	0
Nomo1	877	638	441	1264
Kcnj11	1028	769	1157	1152
Abcc8	10298	6662	9293	18343
Gm45486	85	111	99	56
Ush1c	2350	1478	1868	2825
Otog	0	2	0	0
1700025L06Rik	0	0	0	0
Myod1	0	0	0	0
Kcnc1	0	0	0	0
Sergef	371	282	242	247
Gm15700	0	0	1	0
Tph1	0	0	0	0
Saal1	83	158	82	138
Saa3	488	195	0	0
Saa4	0	0	0	0
Saa1	0	0	0	0
Saa2	0	1	0	0
Hps5	310	101	128	342
Gtf2h1	502	364	341	609
Ldha	281	1128	54	39
Ldhc	0	0	0	0
Tsg101	1752	1812	2109	2373
Uevld	88	79	46	75
C86187	0	4	0	0
Gm9999	0	0	0	0
Spty2d1	669	539	616	1001
Gm45474	0	0	0	0
Tmem86a	343	562	419	408
Ptpn5	0	0	0	0
Gm14377	5	0	0	0
Gm44969	0	0	0	0
Mrgpra6	0	0	0	0
Mrgpra9	0	0	0	0
Mrgpra1	0	0	0	0
Mrgpra2a	0	0	0	0
Mrgpra2b	0	0	0	0
Mrgpra3	0	0	0	0
Mrgpra4	0	0	0	0
Mrgprx1	0	0	0	0
Mrgprb5	0	0	2	4
Mrgprb4	0	0	0	0
Mrgprb8	0	0	0	0
Mrgprb1	0	0	0	0
Mrgprx2	0	0	0	0
Mrgprb2	0	0	0	0
Mrgprb3	0	0	0	0
Gm45086	0	0	0	0
Zdhhc13	448	364	368	511
Csrp3	0	0	0	0
E2f8	0	0	0	0
Gm45282	0	0	0	0
Nav2	549	723	964	808
Gm32849	23	11	9	1
9130015G15Rik	0	1	0	7
Dbx1	0	0	0	0
Htatip2	901	811	803	863
Prmt3	451	195	354	581
Gm26856	0	0	0	0
Slc6a5	0	0	0	0
Nell1	2031	1581	2671	4120
Nell1os	0	0	0	0
4933405O20Rik	0	0	0	0
Ano5	0	0	0	0
Slc17a6	0	0	0	0
Gm29296	0	0	0	0
Fancf	184	157	297	464
Gas2	525	738	984	1168
Svip	1021	1110	1503	2062
1700015G11Rik	0	0	0	0
Luzp2	0	0	14	3
Siglech	0	3	0	0
Tubgcp5	325	232	299	461
Cyfip1	487	402	382	1174
Nipa2	649	585	744	895
Nipa1	372	278	348	677
Herc2	564	508	770	695
Oca2	1	0	0	0
Gm44506	0	0	0	0
Gabrg3	0	0	0	0
Gm9962	0	0	0	0
Gabra5	4	0	0	0
Gabrb3	300	216	256	329
Atp10a	13	0	0	16
Ube3a	1479	1429	1434	2199
Gm38393	0	11	1	0
Snrpn	1665	1340	1436	1744
Snurf	0	0	0	0
Gm44644	0	0	0	0
Gm44643	0	0	0	0
A230006K03Rik	0	0	0	0
B230209E15Rik	0	0	0	0
A230057D06Rik	100	121	137	135
Gm9801	0	0	0	0
Gm32061	0	0	0	0
Ndn	1766	1437	1385	1470
Magel2	0	0	0	0
Mkrn3	0	0	0	8
Peg12	0	0	0	0
A26c2	0	0	0	0
Chrna7	0	0	0	0
4930554H23Rik	0	0	0	0
Otud7a	31	15	42	65
Gm44718	0	0	0	0
Klf13	837	746	971	999
E030018B13Rik	0	2	0	0
Gm45052	0	0	0	0
Gm32633	1	8	7	2
Gm45054	0	0	0	0
Gm20670	0	0	0	0
Trpm1	157	123	40	68
Mtmr10	461	299	277	580
Gm20457	4	0	4	0
Fan1	67	87	128	162
Mphosph10	562	418	487	673
Mcee	478	637	665	616
Apba2	2	5	9	6
Fam189a1	126	48	57	78
Nsmce3	1078	994	888	1204
1810049I09Rik	0	0	0	0
Tjp1	404	321	470	758
BC046251	0	0	0	0
Tarsl2	183	185	294	523
Tm2d3	1782	1969	1768	1605
1810008I18Rik	1047	1006	1264	1103
Pcsk6	237	181	283	218
Gm45213	0	0	0	0
Snrpa1	640	643	535	631
Gm45081	6	5	0	1
Selenos	7728	7052	6957	7946
Gm26827	0	0	0	0
Chsy1	1	22	3	22
Lrrk1	16	27	4	1
Gm44752	1	0	0	0
Gm10974	0	0	0	0
Aldh1a3	21	12	0	0
Gm44753	0	0	0	0
Gm33570	0	0	0	0
Asb7	102	163	142	141
Lins1	188	125	228	310
Cers3	30	0	13	4
Adamts17	21	26	46	45
1700112J16Rik	56	68	48	82
Lysmd4	218	187	194	299
Mef2a	395	325	322	489
Gm33926	0	0	0	0
Lrrc28	196	223	288	280
Ttc23	22	4	15	14
Synm	0	0	0	2
4833412C05Rik	2	0	0	3
Gm34350	22	4	0	3
Gm39027	2	2	0	0
Igf1r	2761	1469	1044	1418
Pgpep1l	0	0	0	0
Gm16157	0	0	0	0
Fam169b	0	14	0	0
Gm16158	0	0	0	0
Gm44889	0	0	0	0
4933436H12Rik	0	0	0	0
Gm34549	0	0	0	0
Gm44886	0	0	0	0
Gm44692	0	0	0	0
Arrdc4	304	262	178	225
Gm34664	0	0	0	0
Gm44691	0	0	0	0
Gm34838	0	0	0	0
Gm38584	0	0	0	0
4930402F11Rik	0	0	0	0
Gm29683	0	0	0	0
Gm35325	0	0	0	0
Gm29327	0	0	0	0
Gm44946	0	0	0	0
Gm44948	0	0	0	0
Nr2f2	3	9	17	1
Gm28258	0	0	0	0
Gm44532	0	0	0	0
Gm35842	0	0	0	0
Gm44813	0	0	0	0
Gm44812	0	0	0	0
Gm44808	0	0	0	0
Gm42397	0	0	0	0
Gm36011	0	0	0	0
Gm39033	0	0	0	0
6030442E23Rik	0	0	0	0
Gm29328	0	0	0	0
Gm10295	0	0	0	0
Gm29295	0	0	0	0
Gm44689	0	0	0	0
4930441H08Rik	0	0	0	0
Gm36633	0	0	0	0
1700011C11Rik	0	0	0	0
Mctp2	15	8	8	0
Gm36696	0	1	0	0
Gm28745	0	0	0	0
Gm28744	0	0	0	0
Gm44725	0	0	0	0
Gm6567	0	0	0	0
4933435G04Rik	0	0	0	0
Gm28746	0	0	0	0
Gm20083	0	0	0	0
Gm30075	0	0	0	0
4930429H19Rik	0	0	0	0
A730056A06Rik	0	0	0	0
Rgma	6	1	0	0
Chd2	293	178	210	343
Gm44686	5	1	1	2
Gm44734	0	1	0	0
Gm44738	1	0	0	0
Gm44737	0	0	0	0
Gm44736	0	0	0	0
Gm44739	0	0	0	0
Fam174b	9814	7424	8198	12725
Gm10619	13	15	13	24
Gm21269	0	12	0	0
St8sia2	0	0	0	0
Gm45004	0	0	0	0
Slco3a1	763	962	589	1338
Gm7580	0	4	1	2
Gm30459	0	0	0	0
0610006L08Rik	0	0	0	0
4930533N22Rik	0	0	0	0
Sv2b	610	401	265	544
Akap13	1479	895	1438	1507
AU020206	3	4	0	0
Klhl25	226	84	138	349
Agbl1	0	0	0	0
Ntrk3	0	11	27	50
4921513I08Rik	0	0	0	0
Gm9885	0	0	0	0
Mrpl46	961	984	836	881
Mrps11	848	713	894	888
5330411O13Rik	0	2	1	1
Det1	137	144	187	225
1700011D18Rik	23	12	20	18
Gm44730	0	0	0	0
Aen	1099	687	635	1007
Isg20	12835	7990	5479	5662
Gm26633	0	11	5	9
Acan	0	0	6	0
Hapln3	0	0	0	0
Mfge8	142	82	58	17
Abhd2	214	101	162	224
Rlbp1	0	0	0	0
Fanci	4	1	7	1
Polg	263	178	199	404
Mir9-3hg	0	0	0	0
Gm35040	0	0	0	0
Gm45168	0	0	0	0
Gm45169	0	0	1	0
Rhcg	0	0	0	0
Ticrr	0	0	0	0
Kif7	0	0	0	0
9330171B17Rik	0	0	0	0
Plin1	0	0	0	0
Pex11a	248	287	435	506
Gm44706	0	0	2	2
Wdr93	8	15	13	32
Mesp1	14	7	19	12
Mesp2	40	37	127	109
Anpep	329	190	309	620
Ap3s2	1097	886	1015	1404
Gm26646	14	12	0	1
Arpin	1129	936	920	1299
Zfp710	443	283	568	606
Gm21057	1	0	0	0
Gm44949	3	5	1	0
Idh2	2943	3064	3569	5823
Gm45202	0	0	0	0
Sema4b	277	117	226	182
Cib1	1439	1373	1392	1354
Gdpgp1	286	398	421	530
Ttll13	20	38	83	69
Ngrn	1501	1505	1682	1818
Vps33b	431	310	330	635
Rccd1	140	140	62	151
Prc1	19	16	13	4
6330403N20Rik	0	0	0	0
Unc45a	1189	671	750	2138
Hddc3	155	130	118	237
Man2a2	390	294	362	645
Fes	33	45	3	0
Furin	452	389	543	881
Gm44851	0	0	1	0
Blm	20	20	12	20
Crtc3	454	338	499	423
Gm15880	13	5	0	0
Iqgap1	2016	1329	1814	3027
Gm44649	0	0	0	2
Zscan2	9	3	3	10
Wdr73	304	376	420	614
Nmb	21	11	0	2
Sec11a	4400	4501	4125	3994
Gm44899	28	46	43	55
Zfp592	528	253	365	476
Alpk3	0	1	1	0
Slc28a1	0	0	0	0
Gm44968	0	1	5	0
Pde8a	576	478	864	1155
Rps17	1940	1720	1730	1490
Cpeb1	1912	1993	2117	3642
Ap3b2	2532	1390	1821	3879
BC048679	1	4	0	4
2900076A07Rik	156	223	209	233
Fsd2	0	0	1	4
Whamm	421	234	349	438
Homer2	4	10	0	0
Gm44570	0	0	0	0
Fam103a1	590	637	704	792
3110040N11Rik	568	627	629	639
Gm45016	0	0	0	1
Btbd1	716	812	865	1189
Gm10160	0	0	0	0
Tm6sf1	18	48	12	25
Gm45014	0	0	0	0
Hdgfl3	378	494	513	603
Bnc1	0	0	0	0
Gm20744	0	0	0	0
Gm45056	0	0	0	0
Gm32850	0	0	0	0
Gm45090	0	0	0	0
Sh3gl3	0	0	2	0
Adamtsl3	0	0	0	0
Saxo2	26	44	51	29
Efl1	207	178	238	390
4933406J10Rik	0	0	0	0
1700010L04Rik	0	0	0	0
Gm36584	0	0	2	6
Mex3b	11	20	17	28
4933430H16Rik	0	0	0	0
A530021J07Rik	0	0	0	0
5930435M05Rik	0	0	0	0
Gm44724	0	0	0	0
Gm44991	0	0	0	0
Gm10610	0	0	0	0
Tmc3	7	0	0	0
Gm16638	0	0	3	0
Stard5	596	487	448	462
Il16	5	0	0	5
2310044K18Rik	0	0	0	0
Cfap161	0	0	0	0
Gm44993	0	0	0	0
Gm39043	0	0	0	0
Tlnrd1	258	250	345	501
Mesd	1484	1398	1544	1592
Cemip	3	1	5	1
Abhd17c	2623	2302	2867	3902
Gm44827	0	0	0	0
Arnt2	97	52	62	137
Gm30873	0	0	0	0
Gm44933	0	0	0	0
Gm45175	0	0	0	0
Gm2115	10	0	14	0
Fah	271	371	320	401
Zfand6	1987	2657	2723	3045
2610206C17Rik	2	9	5	17
Olfr291	0	0	0	0
Olfr290	0	0	0	0
Vmn2r65	0	0	0	0
Vmn2r66	0	0	0	0
Vmn2r67	0	0	0	0
Vmn2r68	0	0	0	0
Vmn2r69	0	0	0	0
Vmn2r70	0	0	0	0
Vmn2r71	0	0	0	0
Vmn2r72	0	0	0	0
Vmn2r73	0	0	0	0
Vmn2r74	0	0	0	0
Vmn2r75	0	0	0	0
Vmn2r76	0	0	0	0
Olfr310	0	0	0	0
Olfr309	0	0	0	0
Olfr308	0	0	0	0
Olfr307	0	0	0	0
Olfr305	0	0	0	0
Olfr304	0	0	0	0
Olfr303	0	0	0	0
Olfr301	0	0	0	0
Olfr299	0	0	0	0
Olfr298	0	0	0	0
Olfr297	0	0	0	0
Olfr295	0	1	0	1
Olfr294	0	0	0	0
Olfr293	0	0	0	0
Olfr292	0	0	0	0
Folh1	0	0	0	0
Vmn2r77	0	0	0	0
Vmn2r78	0	0	0	0
Vmn2r79	0	0	0	0
Nox4	0	5	0	0
Tyr	0	0	0	0
Grm5	0	0	0	0
Ctsc	181	801	36	68
Gm26522	0	0	0	0
Gm44751	0	0	0	0
Rab38	7	3	3	0
Gm45144	0	0	0	0
Tmem135	1084	946	889	1489
Gm44995	0	0	0	1
Fzd4	1	5	9	12
AI314278	0	2	0	7
Prss23	153	188	256	262
Prss23os	0	0	0	0
Gm45064	0	0	0	0
A230065N10Rik	11	7	12	3
Me3	71	82	146	134
Ccdc81	0	0	0	0
Hikeshi	867	723	732	810
Eed	634	499	563	624
Picalm	758	758	803	906
Ccdc83	0	0	0	0
Sytl2	17	1	0	0
Ccdc89	21	10	1	37
Crebzf	411	413	494	765
Tmem126a	1920	1866	1348	1588
Tmem126b	652	686	751	866
Dlg2	42	15	16	21
Gm45159	11	16	6	14
4930567K12Rik	0	0	0	0
Ccdc90b	301	289	408	370
Ankrd42	33	32	70	56
Gm26944	4	5	0	1
Pcf11	575	594	654	811
Gm26981	23	4	3	0
Rab30	11	3	2	8
Ddias	18	3	11	8
Prcp	91	89	36	74
Gm9934	0	0	0	0
Fam181b	0	0	0	0
Gm44947	0	0	0	0
Gm45037	0	0	0	0
Gm32647	0	0	0	0
Gm44601	0	0	0	0
Tenm4	49	82	90	55
Gm15412	0	0	0	0
Gm15414	0	0	0	0
Gm15413	0	4	0	0
Gm15416	0	0	1	0
Gm44633	0	0	0	0
Nars2	616	661	794	912
Gab2	114	102	127	197
Usp35	1313	758	1104	1834
Kctd21	192	244	307	363
Alg8	755	529	509	854
Ndufc2	10170	8757	6406	6448
Thrsp	148	48	32	50
Kctd14	4	3	0	13
Ints4	887	531	622	1029
Aamdc	210	265	197	224
Rsf1	459	348	520	579
Rsf1os1	0	0	1	1
Rsf1os2	6	2	4	21
Clns1a	1598	1707	2048	2308
Aqp11	558	736	1090	1266
Pak1	76	109	134	98
Gdpd4	0	0	0	0
Myo7a	122	84	45	141
Capn5	512	238	361	508
Omp	43	3	21	6
B3gnt6	0	0	0	0
Acer3	206	306	171	243
Tsku	7	24	13	21
Gm44507	0	0	0	0
Gucy2d	0	0	0	0
Lrrc32	10	28	0	0
A630091E08Rik	0	0	0	0
Emsy	298	133	260	342
Thap12	345	335	426	775
Gm19656	0	0	1	1
Gm44934	0	0	0	0
Wnt11	0	6	0	0
Uvrag	506	362	639	1329
Gm45188	0	0	0	0
Gm45187	0	3	0	0
Dgat2	246	118	87	194
Gm45012	0	1	0	0
Mogat2	0	0	0	0
Gm26705	1	0	3	7
Map6	552	481	488	1054
Serpinh1	98	140	62	111
Gdpd5	0	18	0	4
Klhl35	10	10	19	40
Rps3	4921	5582	4619	4448
Arrb1	28	14	22	10
Tpbgl	22	38	8	4
Gm10605	0	0	0	0
Slco2b1	5	41	0	5
Gm15635	0	0	0	0
Gm34280	0	0	0	0
Olfr520	0	0	0	0
Olfr521	0	0	0	0
F730035P03Rik	0	0	0	0
Neu3	61	31	17	97
Spcs2	15398	15814	15619	18490
Xrra1	27	19	26	80
Gm38405	0	1	0	4
Rnf169	113	55	149	122
Chrdl2	0	0	0	0
Pold3	767	636	622	1038
Lipt2	202	151	197	177
Gm34821	2	0	0	0
Kcne3	0	0	0	0
Pgm2l1	16	14	15	10
P4ha3	0	0	0	0
Ppme1	1727	1644	1498	2375
C2cd3	211	166	275	352
Gm10603	5	5	9	0
Ucp3	0	0	0	0
Ucp2	9230	11075	12006	12391
Dnajb13	2	14	7	5
Coa4	494	438	378	447
Gm39059	0	0	0	0
Mrpl48	891	954	903	1059
Rab6a	2757	2289	2652	3409
Plekhb1	632	648	499	555
Gm35082	0	0	0	0
Fam168a	359	310	407	264
Relt	245	485	660	951
Arhgef17	1820	1141	1803	4141
P2ry6	155	275	184	169
P2ry2	0	8	0	0
Fchsd2	112	61	87	112
Atg16l2	467	372	493	669
Stard10	2060	1850	2616	3257
Gm20476	0	0	0	0
Gm45620	0	2	0	0
Arap1	691	309	350	932
Gm45837	3	0	0	0
Pde2a	0	0	0	0
Gm35363	0	0	0	0
Art2b	0	4	0	0
Clpb	789	491	556	1050
Phox2a	0	6	0	0
Inppl1	319	199	362	573
Gm10602	22	29	43	25
Folr2	9	22	0	1
Folr1	356	551	841	665
Anapc15	124	109	136	158
Tomt	4	2	0	4
Lamtor1	1858	1856	1847	2344
Lrrc51	143	105	102	104
Numa1	687	516	808	1017
Il18bp	5146	3924	2564	2713
Rnf121	548	624	496	659
Xndc1	51	53	26	27
Xntrpc	5	2	4	1
Trpc2	0	0	0	0
Art5	0	0	0	0
Art1	0	0	0	0
Chrna10	0	0	0	0
Nup98	573	407	562	781
Pgap2	488	383	559	637
Rhog	600	699	347	476
Stim1	977	915	1120	2023
Rrm1	211	181	195	401
Olfr543	0	0	0	3
Olfr544	0	0	0	0
Olfr545	0	0	1	2
Olfr547	0	0	0	0
Olfr548-ps1	0	0	0	0
Olfr549	0	0	0	0
Trim21	334	345	229	515
Olfr550	0	0	0	0
Olfr551	0	0	0	0
Olfr552	0	0	0	0
Olfr553	0	0	0	0
Olfr554	0	0	0	1
Olfr555	0	0	0	0
Olfr556	0	0	0	0
Trim68	148	99	98	161
Olfr557	0	0	0	0
Olfr558	0	0	0	0
Olfr33	0	0	0	0
Olfr559	0	0	0	0
Olfr78	0	0	0	0
Olfr560	0	0	0	0
Olfr561	0	0	0	0
Olfr564	0	0	0	0
Olfr566	0	0	0	0
Olfr568	0	0	0	0
Olfr569	0	0	0	0
Olfr570	0	0	0	0
Olfr571	2	1	0	1
Olfr572	0	0	0	0
Olfr573-ps1	0	0	0	0
Olfr574	0	0	0	0
Olfr575	0	0	0	0
Olfr576	0	0	0	0
Olfr577	0	0	0	0
Olfr578	0	0	0	0
Olfr582	0	0	0	0
Olfr583	0	0	0	0
Olfr584	0	0	0	0
Olfr585	0	0	0	0
Olfr586	0	0	0	0
Olfr588-ps1	0	0	0	0
Olfr589	0	0	0	0
Olfr591	0	0	0	0
Olfr592	0	0	0	0
Olfr593	0	0	0	0
Olfr594	0	0	0	0
Usp17ld	0	0	0	0
Olfr596	0	0	0	0
Olfr597	0	0	0	0
Olfr598	0	0	0	0
Olfr599	0	0	0	0
Olfr600	0	0	0	0
Olfr601	0	0	0	0
Olfr603	0	0	0	0
Usp17lc	0	0	0	0
Olfr605	0	0	0	0
Olfr606	0	0	0	0
Olfr607	0	0	0	0
Olfr608	0	0	0	0
Olfr609	0	0	0	0
Olfr610	0	0	0	0
Olfr611	0	0	0	0
Olfr612	0	0	0	0
Olfr613	0	0	0	0
Olfr615	0	0	0	0
Olfr616	0	0	0	0
Olfr617	0	0	0	0
Olfr618	0	0	0	0
Olfr619	0	0	0	0
Olfr620	6	4	1	2
Olfr622	0	0	0	0
Olfr623	0	0	0	0
Olfr624	0	0	0	0
Olfr625-ps1	0	0	0	0
Olfr243	0	0	0	0
Olfr628	0	0	0	0
Olfr629	0	0	0	0
Olfr630	0	0	0	0
Olfr69	0	0	0	0
Olfr68	0	0	0	0
Olfr67	0	0	0	0
Hbb-bt	2	0	1	0
Hbb-bs	4	0	7	0
Hbb-bh2	0	0	0	0
Hbb-bh1	0	0	0	0
Hbb-y	0	0	0	0
Olfr66	0	0	0	0
Olfr64	0	0	0	0
Olfr65	0	0	0	0
Olfr631	0	0	0	0
Olfr632	0	0	0	0
Olfr633	0	0	0	0
Olfr635	0	0	0	0
Olfr638	0	0	0	0
Olfr643	0	0	0	0
Olfr639	0	0	0	0
Olfr640	0	0	0	0
Olfr641	0	0	0	0
Olfr642	0	0	0	0
4930516K23Rik	0	0	0	0
Olfr644	0	0	0	0
Olfr645	0	0	0	0
Olfr646	0	0	0	0
Ubqln5	0	0	0	0
Ubqln3	0	0	0	0
Ubqlnl	0	0	0	0
Olfm5	0	0	0	0
Olfr648	0	0	0	0
Olfr649	0	0	0	0
Trim6	0	0	0	0
Trim34a	206	153	149	216
Gm47248	0	0	0	0
Trim5	11	21	3	13
Trim12a	260	107	89	80
Gm15133	3	0	5	1
Trim34b	3	0	0	0
Trim12c	192	134	122	113
Trim30b	11	5	0	11
Trim30c	4	26	0	0
Trim30a	116	129	14	22
Trim30d	37	6	2	1
Olfr651	0	0	0	0
Olfr652	0	0	0	0
Olfr653	0	0	0	0
Olfr654	0	0	0	0
Olfr655	0	0	0	1
Olfr656	0	0	0	0
Olfr657	0	0	0	0
Olfr658	0	0	0	0
Olfr659	0	0	0	0
Olfr661	0	0	0	0
Usp17le	0	0	0	0
Usp17lb	0	0	0	0
Usp17la	0	0	0	0
Gm45556	0	0	0	0
Olfr665	0	0	0	0
Olfr666	0	0	0	0
Gm45272	0	0	0	0
Olfr667	0	0	0	0
Olfr668	0	0	0	0
Olfr669	0	0	0	0
Olfr670	0	0	0	0
Olfr671	0	0	0	0
Olfr672	0	0	0	0
Olfr675	0	0	0	0
Olfr676	0	0	0	0
Olfr677	0	0	0	0
Olfr678	0	0	0	0
Gm45557	0	0	0	0
Olfr679	0	0	0	0
Olfr680-ps1	0	0	0	0
Gm45558	0	0	0	0
Olfr681	0	0	0	0
Olfr683	0	0	0	0
Olfr684	0	0	0	0
Olfr685	0	0	0	0
Olfr686	0	0	0	0
Olfr688	0	0	0	0
Olfr689	0	0	0	0
Olfr690	0	0	0	0
Olfr691	0	0	0	0
Olfr692	0	0	0	0
Fam160a2	712	599	945	962
Gm5901	0	0	0	0
Cnga4	5	0	0	6
Cckbr	0	6	0	0
Cavin3	6	40	0	8
Smpd1	2918	2717	2179	3672
Apbb1	1796	1194	1271	2034
Hpx	0	9	0	1
Trim3	569	515	637	1141
Arfip2	2156	1578	1818	2852
Timm10b	941	755	790	777
Gm45799	2	2	4	1
Dnhd1	32	29	14	30
Rrp8	285	314	487	477
Ilk	94	103	108	132
Taf10	2322	2164	2184	2178
Tpp1	1923	1593	1847	1972
Dchs1	0	0	0	0
Mrpl17	3290	2813	2566	2786
Gm4070	0	1	0	0
Gm20663	0	0	0	0
Gvin1	2	1	0	0
Olfr693	0	0	0	0
Olfr694	0	0	0	0
Olfr695	0	0	0	0
Olfr697	0	0	0	0
Olfr698	0	0	0	0
Olfr699	0	0	0	0
Olfr700	0	0	0	0
4930458B22Rik	0	0	0	0
Olfr701	0	0	0	0
Olfr702	0	0	0	0
Olfr703	0	0	0	0
Olfr704	0	0	0	0
Olfr705	0	0	0	0
Olfr706	0	0	0	0
Olfr707	0	0	0	0
Olfr1532-ps1	0	0	0	0
Olfr709-ps1	0	0	0	0
Olfr710	0	0	0	0
Olfr6	0	0	0	0
Olfr711	0	0	0	0
Olfr2	0	0	0	0
Olfr713	0	0	0	0
Olfr714	0	0	0	0
Olfr17	0	0	0	0
Olfr715b	0	0	0	0
Gm45868	0	0	0	0
Olfr715	0	0	0	0
Olfr716	0	0	0	0
Nlrp14	0	0	0	0
Rbmxl2	0	0	0	0
Platr28	0	0	0	0
Syt9	262	158	259	336
Olfml1	0	0	0	0
Gm44773	0	0	0	0
Ppfibp2	16	9	2	3
5330417H12Rik	0	0	0	0
Cyb5r2	19	10	0	4
Gm45040	0	0	0	0
Ovch2	0	0	0	0
Olfr467	0	0	0	0
Olfr469	0	0	0	0
Olfr470	0	0	0	0
Olfr472	0	0	0	0
Olfr473	0	0	0	0
Olfr474	0	0	0	0
Olfr476	0	0	0	0
Olfr477	0	0	0	0
Olfr478	0	0	0	0
Olfr479	0	0	0	0
Olfr480	0	0	0	0
Olfr481	0	0	0	0
Olfr482	3	1	4	2
Olfr483	0	0	0	0
Olfr484	0	0	0	0
Olfr485	0	0	0	0
Olfr486	0	0	0	0
Olfr487	0	0	0	0
Olfr488	0	0	0	0
Olfr490	0	0	0	0
Olfr491	0	0	0	0
Olfr492	0	0	0	0
Olfr493	0	0	0	0
Olfr494	0	0	0	0
Olfr495	0	0	0	0
Olfr497	0	0	0	0
Olfr498	0	0	0	0
Olfr502	0	0	0	0
Olfr503	0	0	0	0
Olfr504	0	0	0	0
Olfr506	0	0	0	0
Olfr507	0	0	0	0
Olfr508	0	0	0	0
Olfr509	0	0	0	0
Olfr510	0	0	0	0
Olfr512	0	0	0	0
Olfr513	0	0	0	0
Olfr514	0	0	0	0
Olfr516	0	0	0	0
Olfr517	0	0	0	0
Olfr518	0	0	0	0
Olfr519	0	0	0	0
Nlrp10	0	0	0	0
Eif3f	1107	827	1051	930
Tub	0	1	1	0
Gm26599	0	0	0	0
Ric3	219	196	341	464
Lmo1	429	483	243	205
Gm44781	2	3	0	0
Gm45024	0	0	0	0
Stk33	0	8	0	0
1700095J03Rik	3	8	0	2
Trim66	14	4	8	37
Rpl27a	737	708	639	558
St5	879	580	999	1632
Gm44864	0	0	0	0
Akip1	398	381	527	428
BC051019	3	2	3	2
Ascl3	6	13	3	10
Tmem9b	1892	2290	2453	2950
Nrip3	7	37	34	81
Scube2	0	3	0	2
Dennd5a	529	261	346	464
Tmem41b	928	829	975	1300
1600010M07Rik	4	2	0	0
Ipo7	339	327	576	522
Zfp143	217	143	201	287
Wee1	78	78	145	194
Swap70	23	33	12	16
Gm45515	0	1	0	0
Sbf2	225	129	194	358
Gm28863	0	0	0	0
Adm	0	9	0	0
Gm21123	0	0	0	0
Ampd3	5	17	4	0
Rnf141	1263	1202	1529	2219
Lyve1	1017	738	434	757
Mrvi1	0	0	0	0
Gm16336	0	0	0	0
Ctr9	540	307	617	1151
Eif4g2	9586	8095	9511	17765
5430402P08Rik	0	0	0	0
Galnt18	980	845	1037	1620
Usp47	1028	474	680	1532
Dkk3	99	41	41	9
Mical2	182	155	222	279
Gm49324	1	0	1	2
Micalcl	1	2	8	3
Parva	1337	813	924	1444
Parvaos	4	13	0	12
Tead1	211	195	214	148
Rassf10	153	104	284	380
Gm33586	0	0	0	2
